corpus	value	metric	metric_type	technique	random_seed
WikiNER-fr	0.2745	ORG_f1	partial	beam_search	43
QuaeroFrenchMed	106.	tp	exact	nothing	43
QuaeroFrenchMed	0.2827	precision	exact	nothing	43
QuaeroFrenchMed	0.2624	recall	exact	nothing	43
QuaeroFrenchMed	0.2721	f1	exact	nothing	43
QuaeroFrenchMed	17.	ANAT_tp	exact	nothing	43
QuaeroFrenchMed	0.2833	ANAT_precision	exact	nothing	43
QuaeroFrenchMed	0.2500	ANAT_recall	exact	nothing	43
QuaeroFrenchMed	0.2656	ANAT_f1	exact	nothing	43
QuaeroFrenchMed	14.	CHEM_tp	exact	nothing	43
QuaeroFrenchMed	0.4118	CHEM_precision	exact	nothing	43
QuaeroFrenchMed	0.2545	CHEM_recall	exact	nothing	43
QuaeroFrenchMed	0.3146	CHEM_f1	exact	nothing	43
QuaeroFrenchMed	1.	DEVI_tp	exact	nothing	43
QuaeroFrenchMed	0.0385	DEVI_precision	exact	nothing	43
QuaeroFrenchMed	0.1667	DEVI_recall	exact	nothing	43
QuaeroFrenchMed	0.0625	DEVI_f1	exact	nothing	43
QuaeroFrenchMed	33.	DISO_tp	exact	nothing	43
QuaeroFrenchMed	0.4925	DISO_precision	exact	nothing	43
QuaeroFrenchMed	0.2895	DISO_recall	exact	nothing	43
QuaeroFrenchMed	0.3646	DISO_f1	exact	nothing	43
QuaeroFrenchMed	3.	GEOG_tp	exact	nothing	43
QuaeroFrenchMed	0.2143	GEOG_precision	exact	nothing	43
QuaeroFrenchMed	0.4286	GEOG_recall	exact	nothing	43
QuaeroFrenchMed	0.2857	GEOG_f1	exact	nothing	43
QuaeroFrenchMed	13.	LIVB_tp	exact	nothing	43
QuaeroFrenchMed	0.5200	LIVB_precision	exact	nothing	43
QuaeroFrenchMed	0.3171	LIVB_recall	exact	nothing	43
QuaeroFrenchMed	0.3939	LIVB_f1	exact	nothing	43
QuaeroFrenchMed	0.	OBJC_tp	exact	nothing	43
QuaeroFrenchMed	0.	OBJC_precision	exact	nothing	43
QuaeroFrenchMed	0.	OBJC_recall	exact	nothing	43
QuaeroFrenchMed	0.	OBJC_f1	exact	nothing	43
QuaeroFrenchMed	0.	PHEN_tp	exact	nothing	43
QuaeroFrenchMed	0.	PHEN_precision	exact	nothing	43
QuaeroFrenchMed	0.	PHEN_recall	exact	nothing	43
QuaeroFrenchMed	0.	PHEN_f1	exact	nothing	43
QuaeroFrenchMed	0.	PHYS_tp	exact	nothing	43
QuaeroFrenchMed	0.	PHYS_precision	exact	nothing	43
QuaeroFrenchMed	0.	PHYS_recall	exact	nothing	43
QuaeroFrenchMed	0.	PHYS_f1	exact	nothing	43
QuaeroFrenchMed	25.	PROC_tp	exact	nothing	43
QuaeroFrenchMed	0.2874	PROC_precision	exact	nothing	43
QuaeroFrenchMed	0.3378	PROC_recall	exact	nothing	43
QuaeroFrenchMed	0.3106	PROC_f1	exact	nothing	43
QuaeroFrenchMed	141.	tp	partial	nothing	43
QuaeroFrenchMed	0.3760	precision	partial	nothing	43
QuaeroFrenchMed	0.3490	recall	partial	nothing	43
QuaeroFrenchMed	0.3620	f1	partial	nothing	43
QuaeroFrenchMed	26.	ANAT_tp	partial	nothing	43
QuaeroFrenchMed	0.4333	ANAT_precision	partial	nothing	43
QuaeroFrenchMed	0.3824	ANAT_recall	partial	nothing	43
QuaeroFrenchMed	0.4062	ANAT_f1	partial	nothing	43
QuaeroFrenchMed	17.	CHEM_tp	partial	nothing	43
QuaeroFrenchMed	0.5000	CHEM_precision	partial	nothing	43
QuaeroFrenchMed	0.3091	CHEM_recall	partial	nothing	43
QuaeroFrenchMed	0.3820	CHEM_f1	partial	nothing	43
QuaeroFrenchMed	3.	DEVI_tp	partial	nothing	43
QuaeroFrenchMed	0.1154	DEVI_precision	partial	nothing	43
QuaeroFrenchMed	0.5000	DEVI_recall	partial	nothing	43
QuaeroFrenchMed	0.1875	DEVI_f1	partial	nothing	43
QuaeroFrenchMed	44.	DISO_tp	partial	nothing	43
QuaeroFrenchMed	0.6567	DISO_precision	partial	nothing	43
QuaeroFrenchMed	0.3860	DISO_recall	partial	nothing	43
QuaeroFrenchMed	0.4862	DISO_f1	partial	nothing	43
QuaeroFrenchMed	3.	GEOG_tp	partial	nothing	43
QuaeroFrenchMed	0.2143	GEOG_precision	partial	nothing	43
QuaeroFrenchMed	0.4286	GEOG_recall	partial	nothing	43
QuaeroFrenchMed	0.2857	GEOG_f1	partial	nothing	43
QuaeroFrenchMed	13.	LIVB_tp	partial	nothing	43
QuaeroFrenchMed	0.5200	LIVB_precision	partial	nothing	43
QuaeroFrenchMed	0.3171	LIVB_recall	partial	nothing	43
QuaeroFrenchMed	0.3939	LIVB_f1	partial	nothing	43
QuaeroFrenchMed	0.	OBJC_tp	partial	nothing	43
QuaeroFrenchMed	0.	OBJC_precision	partial	nothing	43
QuaeroFrenchMed	0.	OBJC_recall	partial	nothing	43
QuaeroFrenchMed	0.	OBJC_f1	partial	nothing	43
QuaeroFrenchMed	2.	PHEN_tp	partial	nothing	43
QuaeroFrenchMed	0.0556	PHEN_precision	partial	nothing	43
QuaeroFrenchMed	0.2000	PHEN_recall	partial	nothing	43
QuaeroFrenchMed	0.0870	PHEN_f1	partial	nothing	43
QuaeroFrenchMed	0.	PHYS_tp	partial	nothing	43
QuaeroFrenchMed	0.	PHYS_precision	partial	nothing	43
QuaeroFrenchMed	0.	PHYS_recall	partial	nothing	43
QuaeroFrenchMed	0.	PHYS_f1	partial	nothing	43
QuaeroFrenchMed	33.	PROC_tp	partial	nothing	43
QuaeroFrenchMed	0.3793	PROC_precision	partial	nothing	43
QuaeroFrenchMed	0.4459	PROC_recall	partial	nothing	43
QuaeroFrenchMed	0.4099	PROC_f1	partial	nothing	43
QuaeroFrenchMed	107.	tp	exact	control	43
QuaeroFrenchMed	0.3323	precision	exact	control	43
QuaeroFrenchMed	0.2649	recall	exact	control	43
QuaeroFrenchMed	0.2948	f1	exact	control	43
QuaeroFrenchMed	19.	ANAT_tp	exact	control	43
QuaeroFrenchMed	0.3167	ANAT_precision	exact	control	43
QuaeroFrenchMed	0.2794	ANAT_recall	exact	control	43
QuaeroFrenchMed	0.2969	ANAT_f1	exact	control	43
QuaeroFrenchMed	14.	CHEM_tp	exact	control	43
QuaeroFrenchMed	0.4000	CHEM_precision	exact	control	43
QuaeroFrenchMed	0.2545	CHEM_recall	exact	control	43
QuaeroFrenchMed	0.3111	CHEM_f1	exact	control	43
QuaeroFrenchMed	2.	DEVI_tp	exact	control	43
QuaeroFrenchMed	0.0870	DEVI_precision	exact	control	43
QuaeroFrenchMed	0.3333	DEVI_recall	exact	control	43
QuaeroFrenchMed	0.1379	DEVI_f1	exact	control	43
QuaeroFrenchMed	28.	DISO_tp	exact	control	43
QuaeroFrenchMed	0.5714	DISO_precision	exact	control	43
QuaeroFrenchMed	0.2456	DISO_recall	exact	control	43
QuaeroFrenchMed	0.3436	DISO_f1	exact	control	43
QuaeroFrenchMed	3.	GEOG_tp	exact	control	43
QuaeroFrenchMed	0.2500	GEOG_precision	exact	control	43
QuaeroFrenchMed	0.4286	GEOG_recall	exact	control	43
QuaeroFrenchMed	0.3158	GEOG_f1	exact	control	43
QuaeroFrenchMed	13.	LIVB_tp	exact	control	43
QuaeroFrenchMed	0.6500	LIVB_precision	exact	control	43
QuaeroFrenchMed	0.3171	LIVB_recall	exact	control	43
QuaeroFrenchMed	0.4262	LIVB_f1	exact	control	43
QuaeroFrenchMed	1.	OBJC_tp	exact	control	43
QuaeroFrenchMed	0.1429	OBJC_precision	exact	control	43
QuaeroFrenchMed	0.1000	OBJC_recall	exact	control	43
QuaeroFrenchMed	0.1176	OBJC_f1	exact	control	43
QuaeroFrenchMed	1.	PHEN_tp	exact	control	43
QuaeroFrenchMed	0.0323	PHEN_precision	exact	control	43
QuaeroFrenchMed	0.1000	PHEN_recall	exact	control	43
QuaeroFrenchMed	0.0488	PHEN_f1	exact	control	43
QuaeroFrenchMed	1.	PHYS_tp	exact	control	43
QuaeroFrenchMed	0.1250	PHYS_precision	exact	control	43
QuaeroFrenchMed	0.0526	PHYS_recall	exact	control	43
QuaeroFrenchMed	0.0741	PHYS_f1	exact	control	43
QuaeroFrenchMed	25.	PROC_tp	exact	control	43
QuaeroFrenchMed	0.3247	PROC_precision	exact	control	43
QuaeroFrenchMed	0.3378	PROC_recall	exact	control	43
QuaeroFrenchMed	0.3311	PROC_f1	exact	control	43
QuaeroFrenchMed	133.	tp	partial	control	43
QuaeroFrenchMed	0.4130	precision	partial	control	43
QuaeroFrenchMed	0.3292	recall	partial	control	43
QuaeroFrenchMed	0.3664	f1	partial	control	43
QuaeroFrenchMed	28.	ANAT_tp	partial	control	43
QuaeroFrenchMed	0.4667	ANAT_precision	partial	control	43
QuaeroFrenchMed	0.4118	ANAT_recall	partial	control	43
QuaeroFrenchMed	0.4375	ANAT_f1	partial	control	43
QuaeroFrenchMed	17.	CHEM_tp	partial	control	43
QuaeroFrenchMed	0.4857	CHEM_precision	partial	control	43
QuaeroFrenchMed	0.3091	CHEM_recall	partial	control	43
QuaeroFrenchMed	0.3778	CHEM_f1	partial	control	43
QuaeroFrenchMed	4.	DEVI_tp	partial	control	43
QuaeroFrenchMed	0.1739	DEVI_precision	partial	control	43
QuaeroFrenchMed	0.6667	DEVI_recall	partial	control	43
QuaeroFrenchMed	0.2759	DEVI_f1	partial	control	43
QuaeroFrenchMed	34.	DISO_tp	partial	control	43
QuaeroFrenchMed	0.6939	DISO_precision	partial	control	43
QuaeroFrenchMed	0.2982	DISO_recall	partial	control	43
QuaeroFrenchMed	0.4172	DISO_f1	partial	control	43
QuaeroFrenchMed	3.	GEOG_tp	partial	control	43
QuaeroFrenchMed	0.2500	GEOG_precision	partial	control	43
QuaeroFrenchMed	0.4286	GEOG_recall	partial	control	43
QuaeroFrenchMed	0.3158	GEOG_f1	partial	control	43
QuaeroFrenchMed	14.	LIVB_tp	partial	control	43
QuaeroFrenchMed	0.7000	LIVB_precision	partial	control	43
QuaeroFrenchMed	0.3415	LIVB_recall	partial	control	43
QuaeroFrenchMed	0.4590	LIVB_f1	partial	control	43
QuaeroFrenchMed	1.	OBJC_tp	partial	control	43
QuaeroFrenchMed	0.1429	OBJC_precision	partial	control	43
QuaeroFrenchMed	0.1000	OBJC_recall	partial	control	43
QuaeroFrenchMed	0.1176	OBJC_f1	partial	control	43
QuaeroFrenchMed	1.	PHEN_tp	partial	control	43
QuaeroFrenchMed	0.0323	PHEN_precision	partial	control	43
QuaeroFrenchMed	0.1000	PHEN_recall	partial	control	43
QuaeroFrenchMed	0.0488	PHEN_f1	partial	control	43
QuaeroFrenchMed	1.	PHYS_tp	partial	control	43
QuaeroFrenchMed	0.1250	PHYS_precision	partial	control	43
QuaeroFrenchMed	0.0526	PHYS_recall	partial	control	43
QuaeroFrenchMed	0.0741	PHYS_f1	partial	control	43
QuaeroFrenchMed	30.	PROC_tp	partial	control	43
QuaeroFrenchMed	0.3896	PROC_precision	partial	control	43
QuaeroFrenchMed	0.4054	PROC_recall	partial	control	43
QuaeroFrenchMed	0.3974	PROC_f1	partial	control	43
QuaeroFrenchMed	105.	tp	exact	beam_search	43
QuaeroFrenchMed	0.2638	precision	exact	beam_search	43
QuaeroFrenchMed	0.2599	recall	exact	beam_search	43
QuaeroFrenchMed	0.2618	f1	exact	beam_search	43
QuaeroFrenchMed	20.	ANAT_tp	exact	beam_search	43
QuaeroFrenchMed	0.2941	ANAT_precision	exact	beam_search	43
QuaeroFrenchMed	0.2941	ANAT_recall	exact	beam_search	43
QuaeroFrenchMed	0.2941	ANAT_f1	exact	beam_search	43
QuaeroFrenchMed	15.	CHEM_tp	exact	beam_search	43
QuaeroFrenchMed	0.4167	CHEM_precision	exact	beam_search	43
QuaeroFrenchMed	0.2727	CHEM_recall	exact	beam_search	43
QuaeroFrenchMed	0.3297	CHEM_f1	exact	beam_search	43
QuaeroFrenchMed	1.	DEVI_tp	exact	beam_search	43
QuaeroFrenchMed	0.0345	DEVI_precision	exact	beam_search	43
QuaeroFrenchMed	0.1667	DEVI_recall	exact	beam_search	43
QuaeroFrenchMed	0.0571	DEVI_f1	exact	beam_search	43
QuaeroFrenchMed	27.	DISO_tp	exact	beam_search	43
QuaeroFrenchMed	0.4909	DISO_precision	exact	beam_search	43
QuaeroFrenchMed	0.2368	DISO_recall	exact	beam_search	43
QuaeroFrenchMed	0.3195	DISO_f1	exact	beam_search	43
QuaeroFrenchMed	3.	GEOG_tp	exact	beam_search	43
QuaeroFrenchMed	0.2308	GEOG_precision	exact	beam_search	43
QuaeroFrenchMed	0.4286	GEOG_recall	exact	beam_search	43
QuaeroFrenchMed	0.3000	GEOG_f1	exact	beam_search	43
QuaeroFrenchMed	14.	LIVB_tp	exact	beam_search	43
QuaeroFrenchMed	0.6667	LIVB_precision	exact	beam_search	43
QuaeroFrenchMed	0.3415	LIVB_recall	exact	beam_search	43
QuaeroFrenchMed	0.4516	LIVB_f1	exact	beam_search	43
QuaeroFrenchMed	0.	OBJC_tp	exact	beam_search	43
QuaeroFrenchMed	0.	OBJC_precision	exact	beam_search	43
QuaeroFrenchMed	0.	OBJC_recall	exact	beam_search	43
QuaeroFrenchMed	0.	OBJC_f1	exact	beam_search	43
QuaeroFrenchMed	0.	PHEN_tp	exact	beam_search	43
QuaeroFrenchMed	0.	PHEN_precision	exact	beam_search	43
QuaeroFrenchMed	0.	PHEN_recall	exact	beam_search	43
QuaeroFrenchMed	0.	PHEN_f1	exact	beam_search	43
QuaeroFrenchMed	0.	PHYS_tp	exact	beam_search	43
QuaeroFrenchMed	0.	PHYS_precision	exact	beam_search	43
QuaeroFrenchMed	0.	PHYS_recall	exact	beam_search	43
QuaeroFrenchMed	0.	PHYS_f1	exact	beam_search	43
QuaeroFrenchMed	25.	PROC_tp	exact	beam_search	43
QuaeroFrenchMed	0.2941	PROC_precision	exact	beam_search	43
QuaeroFrenchMed	0.3378	PROC_recall	exact	beam_search	43
QuaeroFrenchMed	0.3145	PROC_f1	exact	beam_search	43
QuaeroFrenchMed	138.	tp	partial	beam_search	43
QuaeroFrenchMed	0.3467	precision	partial	beam_search	43
QuaeroFrenchMed	0.3416	recall	partial	beam_search	43
QuaeroFrenchMed	0.3441	f1	partial	beam_search	43
QuaeroFrenchMed	29.	ANAT_tp	partial	beam_search	43
QuaeroFrenchMed	0.4265	ANAT_precision	partial	beam_search	43
QuaeroFrenchMed	0.4265	ANAT_recall	partial	beam_search	43
QuaeroFrenchMed	0.4265	ANAT_f1	partial	beam_search	43
QuaeroFrenchMed	17.	CHEM_tp	partial	beam_search	43
QuaeroFrenchMed	0.4722	CHEM_precision	partial	beam_search	43
QuaeroFrenchMed	0.3091	CHEM_recall	partial	beam_search	43
QuaeroFrenchMed	0.3736	CHEM_f1	partial	beam_search	43
QuaeroFrenchMed	3.	DEVI_tp	partial	beam_search	43
QuaeroFrenchMed	0.1034	DEVI_precision	partial	beam_search	43
QuaeroFrenchMed	0.5000	DEVI_recall	partial	beam_search	43
QuaeroFrenchMed	0.1714	DEVI_f1	partial	beam_search	43
QuaeroFrenchMed	35.	DISO_tp	partial	beam_search	43
QuaeroFrenchMed	0.6364	DISO_precision	partial	beam_search	43
QuaeroFrenchMed	0.3070	DISO_recall	partial	beam_search	43
QuaeroFrenchMed	0.4142	DISO_f1	partial	beam_search	43
QuaeroFrenchMed	3.	GEOG_tp	partial	beam_search	43
QuaeroFrenchMed	0.2308	GEOG_precision	partial	beam_search	43
QuaeroFrenchMed	0.4286	GEOG_recall	partial	beam_search	43
QuaeroFrenchMed	0.3000	GEOG_f1	partial	beam_search	43
QuaeroFrenchMed	14.	LIVB_tp	partial	beam_search	43
QuaeroFrenchMed	0.6667	LIVB_precision	partial	beam_search	43
QuaeroFrenchMed	0.3415	LIVB_recall	partial	beam_search	43
QuaeroFrenchMed	0.4516	LIVB_f1	partial	beam_search	43
QuaeroFrenchMed	0.	OBJC_tp	partial	beam_search	43
QuaeroFrenchMed	0.	OBJC_precision	partial	beam_search	43
QuaeroFrenchMed	0.	OBJC_recall	partial	beam_search	43
QuaeroFrenchMed	0.	OBJC_f1	partial	beam_search	43
QuaeroFrenchMed	2.	PHEN_tp	partial	beam_search	43
QuaeroFrenchMed	0.0444	PHEN_precision	partial	beam_search	43
QuaeroFrenchMed	0.2000	PHEN_recall	partial	beam_search	43
QuaeroFrenchMed	0.0727	PHEN_f1	partial	beam_search	43
QuaeroFrenchMed	0.	PHYS_tp	partial	beam_search	43
QuaeroFrenchMed	0.	PHYS_precision	partial	beam_search	43
QuaeroFrenchMed	0.	PHYS_recall	partial	beam_search	43
QuaeroFrenchMed	0.	PHYS_f1	partial	beam_search	43
QuaeroFrenchMed	35.	PROC_tp	partial	beam_search	43
QuaeroFrenchMed	0.4118	PROC_precision	partial	beam_search	43
QuaeroFrenchMed	0.4730	PROC_recall	partial	beam_search	43
QuaeroFrenchMed	0.4403	PROC_f1	partial	beam_search	43
